序号,瓷砖颜色编号
1, 1
2, 1
3, 11
4, 6
5, 6
6, 6
7, 1
8, 7
9, 6
10, 6
11, 6
12, 6
13, 7
14, 7
15, 6
16, 6
17, 6
18, 16
19, 7
20, 7
21, 7
22, 6
23, 16
24, 16
25, 5
26, 5
27, 5
28, 12
29, 16
30, 16
31, 5
32, 5
33, 12
34, 12
35, 12
36, 12
37, 1
38, 11
39, 11
40, 11
41, 11
42, 6
43, 7
44, 7
45, 11
46, 11
47, 6
48, 6
49, 7
50, 7
51, 7
52, 6
53, 6
54, 6
55, 5
56, 7
57, 7
58, 6
59, 16
60, 16
61, 5
62, 5
63, 5
64, 16
65, 16
66, 16
67, 5
68, 5
69, 5
70, 12
71, 12
72, 12
73, 1
74, 11
75, 11
76, 11
77, 11
78, 11
79, 7
80, 11
81, 11
82, 11
83, 11
84, 6
85, 7
86, 7
87, 11
88, 11
89, 6
90, 6
91, 5
92, 5
93, 7
94, 6
95, 6
96, 16
97, 5
98, 5
99, 5
100, 16
101, 16
102, 16
103, 15
104, 5
105, 5
106, 12
107, 12
108, 12
109, 11
110, 11
111, 11
112, 11
113, 11
114, 11
115, 10
116, 11
117, 11
118, 11
119, 11
120, 11
121, 10
122, 10
123, 11
124, 11
125, 22
126, 22
127, 5
128, 10
129, 10
130, 22
131, 22
132, 22
133, 15
134, 5
135, 5
136, 22
137, 20
138, 20
139, 15
140, 15
141, 5
142, 18
143, 20
144, 20
145, 3
146, 13
147, 13
148, 13
149, 13
150, 13
151, 10
152, 10
153, 10
154, 11
155, 22
156, 22
157, 10
158, 10
159, 10
160, 22
161, 22
162, 22
163, 10
164, 10
165, 10
166, 22
167, 22
168, 22
169, 14
170, 10
171, 10
172, 18
173, 18
174, 20
175, 14
176, 14
177, 18
178, 18
179, 20
180, 20
181, 3
182, 13
183, 13
184, 13
185, 13
186, 13
187, 17
188, 10
189, 13
190, 13
191, 22
192, 22
193, 17
194, 10
195, 10
196, 22
197, 22
198, 22
199, 9
200, 10
201, 10
202, 22
203, 22
204, 8
205, 14
206, 14
207, 18
208, 18
209, 18
210, 20
211, 14
212, 14
213, 19
214, 19
215, 21
216, 20
