ÐòºÅ,´É×©ÑÕÉ«±àºÅ
1, 12
2, 5
3, 6
4, 6
5, 7
6, 12
7, 11
8, 7
9, 16
10, 16
11, 6
12, 7
13, 16
14, 12
15, 6
16, 7
17, 12
18, 5
19, 12
20, 5
21, 11
22, 7
23, 5
24, 7
25, 6
26, 5
27, 11
28, 16
29, 7
30, 5
31, 12
32, 5
33, 11
34, 7
35, 7
36, 5
37, 16
38, 12
39, 6
40, 7
41, 7
42, 5
43, 7
44, 11
45, 7
46, 7
47, 7
48, 6
49, 11
50, 6
51, 16
52, 16
53, 16
54, 11
55, 11
56, 7
57, 11
58, 16
59, 11
60, 11
61, 6
62, 15
63, 6
64, 12
65, 6
66, 5
67, 16
68, 7
69, 5
70, 5
71, 1
72, 11
73, 5
74, 11
75, 6
76, 6
77, 7
78, 6
79, 11
80, 11
81, 11
82, 11
83, 5
84, 5
85, 12
86, 5
87, 11
88, 11
89, 16
90, 20
91, 5
92, 11
93, 11
94, 7
95, 11
96, 15
97, 11
98, 5
99, 22
100, 10
101, 11
102, 22
103, 15
104, 5
105, 11
106, 22
107, 10
108, 10
109, 10
110, 15
111, 5
112, 22
113, 10
114, 20
115, 10
116, 11
117, 10
118, 22
119, 11
120, 18
121, 15
122, 18
123, 13
124, 22
125, 20
126, 14
127, 22
128, 22
129, 10
130, 10
131, 14
132, 22
133, 22
134, 11
135, 10
136, 22
137, 10
138, 22
139, 3
140, 10
141, 10
142, 18
143, 14
144, 10
145, 20
146, 13
147, 10
148, 22
149, 18
150, 18
151, 10
152, 14
153, 13
154, 3
155, 10
156, 19
157, 22
158, 19
159, 10
160, 13
161, 22
162, 3
163, 22
164, 22
165, 13
166, 17
167, 13
168, 10
169, 10
170, 22
171, 13
172, 17
173, 8
174, 14
175, 22
176, 19
177, 19
178, 19
179, 13
180, 22
181, 21
182, 13
183, 10
184, 19
185, 8
186, 9
187, 8
188, 13
189, 14
190, 4
191, 8
192, 8
193, 17
194, 17
195, 14
196, 8
197, 8
198, 13
199, 13
200, 9















